Date,Promotion,Event Name,Location 1,Location 2
Jun 6th 2016,WWE,Monday Night Raw,Oklahoma City,Oklahoma
Jun 6th 2016,WWE,Superstars Taping,Oklahoma City,Oklahoma
May 31st 2016,WWE,Smackdown! Taping,Rockford,Illinois
May 31st 2016,WWE,Main Event Taping,Rockford,Illinois
May 30th 2016,WWE,Monday Night Raw,Green Bay,Wisconsin
May 30th 2016,WWE,Superstars Taping,Green Bay,Wisconsin
May 24th 2016,WWE,Smackdown! Taping,Norfolk,Virginia
May 24th 2016,WWE,Main Event Taping,Norfolk,Virginia
May 23rd 2016,WWE,Monday Night Raw,Baltimore,Maryland
May 23rd 2016,WWE,Superstars Taping,Baltimore,Maryland
May 22nd 2016,WWE,Extreme Rules '16,Newark,New Jersey
May 17th 2016,WWE,Smackdown! Taping,Greenville,South Carolina
May 17th 2016,WWE,Main Event Taping,Greenville,South Carolina
May 16th 2016,WWE,Monday Night Raw,Greensboro,North Carolina
May 16th 2016,WWE,Superstars Taping,Greensboro,North Carolina
May 10th 2016,WWE,Smackdown! Taping,Des Moines,Iowa
May 10th 2016,WWE,Main Event Taping,Des Moines,Iowa
May 9th 2016,WWE,Monday Night Raw,Omaha,Nebraska
May 9th 2016,WWE,Superstars Taping,Omaha,Nebraska
May 3rd 2016,WWE,Smackdown! Taping,Kansas City,Missouri
May 3rd 2016,WWE,Main Event Taping,Kansas City,Missouri
May 2nd 2016,WWE,Monday Night Raw,St. Louis,Missouri
May 2nd 2016,WWE,Superstars Taping,St. Louis,Missouri
May 1st 2016,WWE,Payback '16,Chicago,Illinois
Apr 26th 2016,WWE,Smackdown! Taping,Manchester,New Hampshire
Apr 26th 2016,WWE,Main Event Taping,Manchester,New Hampshire
Apr 25th 2016,WWE,Monday Night Raw,Hartford,Connecticut
Apr 25th 2016,WWE,Superstars Taping,Hartford,Connecticut
Apr 23rd 2016,WWE,WWE Live - Wrestlemania Revenge Tour,Malaga,Andalusia
Apr 19th 2016,WWE,Smackdown! Taping,London,England
Apr 19th 2016,WWE,Main Event Taping,London,England
Apr 18th 2016,WWE,Monday Night Raw Taping,London,England
Apr 18th 2016,WWE,Superstars Taping,London,England
Apr 17th 2016,WWE,WWE Live - Wrestlemania Revenge Tour,Leeds,England
Apr 17th 2016,WWE,WWE Live - Wrestlemania Revenge Tour,Nottingham,England
Apr 16th 2016,WWE,WWE Live - Wrestlemania Revenge Tour,Birmingham,England
Apr 15th 2016,WWE,WWE Live - Wrestlemania Revenge Tour,Amsterdam,North Holland
Apr 15th 2016,WWE,WWE Live - Wrestlemania Revenge Tour,Dubai,Dubai
Apr 14th 2016,WWE,WWE Live - Wrestlemania Revenge Tour,Dubai,Dubai
Apr 14th 2016,WWE,WWE Live - Wrestlemania Revenge Tour,Florence,Tuscany
Apr 13th 2016,WWE,WWE Live - Wrestlemania Revenge Tour,Milan,Lombardy
Apr 12th 2016,WWE,Smackdown! Taping,San Diego,California
Apr 12th 2016,WWE,Main Event Taping,San Diego,California
Apr 11th 2016,WWE,Monday Night Raw,Los Angeles,California
Apr 11th 2016,WWE,Superstars Taping,Los Angeles,California
Apr 5th 2016,WWE,Smackdown Taping,Houston,Texas
Apr 5th 2016,WWE,Main Event Taping,Houston,Texas
Apr 4th 2016,WWE,Monday Night Raw,Dallas,Texas
Apr 4th 2016,WWE,Superstars Taping,Dallas,Texas
Apr 3rd 2016,WWE,WrestleMania 32,Arlington,Texas
Mar 28th 2016,WWE,Main Event Taping,Brooklyn,New York
Mar 28th 2016,WWE,Monday Night Raw,Brooklyn,New York
Mar 28th 2016,WWE,Smackdown Taping,Brooklyn,New York
Mar 28th 2016,WWE,Superstars Taping,Brooklyn,New York
Mar 26th 2016,WWE,WWE Live - Road To Wrestlemania,Trenton,New Jersey
Mar 26th 2016,WWE,WWE Live - Road To Wrestlemania,Richmond,Virginia
Mar 25th 2016,WWE,MSG Show (Mar. '16) - Road To Wrestlemania,New York,New York
Mar 22nd 2016,WWE,Smackdown Taping,Boston,Massachusetts
Mar 22nd 2016,WWE,Main Event Taping,Boston,Massachusetts
Mar 21st 2016,WWE,Monday Night Raw,Philadelphia,Pennsylvania
Mar 21st 2016,WWE,Superstars Taping,Philadelphia,Pennsylvania
Mar 20th 2016,WWE,WWE Live - Road To Wrestlemania,Binghamton,New York
Mar 19th 2016,WWE,WWE Live - Road To Wrestlemania,Buffalo,New York
Mar 19th 2016,WWE,WWE Live - Road To WrestleMania,White Plains,New York
Mar 18th 2016,WWE,WWE Live - Road To Wrestlemania,Syracuse,New York
Mar 15th 2016,WWE,Smackdown Taping,Cincinnati,Ohio
Mar 15th 2016,WWE,Main Event Taping,Cincinnati,Ohio
Mar 14th 2016,WWE,Monday Night Raw,Pittsburgh,Pennsylvania
Mar 14th 2016,WWE,Superstars Taping,Pittsburgh,Pennsylvania
Mar 13th 2016,WWE,WWE Live - Road to WrestleMania,Hershey,Pennsylvania
Mar 13th 2016,WWE,WWE Live - Road to WrestleMania,Erie,Pennsylvania
Mar 12th 2016,WWE,WWE Live - Road to WrestleMania,Atlantic City,New Jersey
Mar 12th 2016,WWE,Roadblock '16,Toronto,Ontario
Mar 11th 2016,WWE,WWE Live - Road to WrestleMania,Montreal,Quebec
Mar 8th 2016,WWE,Smackdown Taping,Milwaukee,Wisconsin
Mar 8th 2016,WWE,Main Event Taping,Milwaukee,Wisconsin
Mar 7th 2016,WWE,Monday Night Raw,Chicago,Illinois
